ID,問題,解説,選択肢1,選択肢2,選択肢3,選択肢4
33," At the press conference next week, Mr. Kuhn _______ the company's plan to enter into apparel business.", p.16,will reveal,revealing,revealed,reveals
34, The young author's forthcoming book _______ to be his best work yet., p.16,is expected,will expect,expected,expects
35, The HR department _______ interviews in a week or two for positions in the new branch in Hong Kong., p.16,will conduct,conducts,conducting,conducted
36, Average salaries _______ over the past 10 years., p.18,have decreased,was decreased,decreased,decreasing
37, The Pacific Hotel _______ an excellent reputation for providing great service and luxurious rooms at affordable prices., p.18,has earned,has been earned,will earn,will be earned
38, Mr. Graham _______ the tony Award twice in the last five years., p.18,has received,received,receiving,was received
39, Flight 74 _______ in flight for 10 minutes when I realized that I left one of my bags in the airport lobby., p.20,had already been,has already been,already been,already was
40, Mr. Fleming _______ for 30 years at the company by the time he retires., p.20,will have served,has served,served,will serve
41, Webmaster Inc. _______ technical support to clients for over 10 years., p.20,has been providing,provides,had provided,providing
42," Our office _______ at 895 Audubon Road, adjacent to Littleton Plaza Shopping Center.", p.22,is located,has been locating,located,is locating
43, All orders _______ within 2-3 business days., p.22,will be shipped,shipped,will ship,are shipping
44, Application forms _______ out completely and mailed by January 17., p.22,must be filled,must fill,filled,have filled
45, Figures released today were expected _______ a fall in unemployment., p.24,to show,showing,of showing,in show
46, Customers are required _______ a one-time service charge at the beginning of the contract term., p.24,to pay,pay,to paying,of paying
47, Lee Oil Company is pleased _______ its recent merger with Camelot Chemical., p.24,to announce,announcing,at announcing,with announce
48, Card Members are entitled _______ a five-percent discount on all purchases., p.26,to,with,of,for
49, The workers are exposed _______ the dangers of asbestos dust in the air., p.26,to,with,for,at
50, Mr. Phillips is fully qualified _______ the position., p.26,for,with,to,in
51, Patients who wish _______ their appointments have to call at least 24 hours in advance., p.28,to cancel,canceling,cancel,to canceling
52, The manager believes that it is easy _______ down on transportation costs., p.28,to cut,cut,cutting,to cutting
53, Municipal authorities are finding it difficult _______ road maintenance and improvements with smaller budgets., p.28,to manage,manage,managed,managing
54, We reserve the right _______ the shipment of your order until payment is received., p.30,to delay,delayed,delaying,delay
55, There seems _______ a significant increase in the use of alternative energy., p.30,to be,being,be,been
56, Webmaster Corporation has  implemented a company-wide restructuring plan _______ expenses., p.30,to reduce,to reducing,reduced,reduce
57, The unemployed did not know where _______ to find jobs., p.32,to go,going,go,gone
58, Huton's Software is powerful enough _______ corporate networks from virus attacks., p.32,to protect,protected,protecting,protect
59," _______ matters worse, sales decreased an additional 15 percent in the last quarter of fiscal 2010.", p.32,To make,Making,Made,Having made
60, _______ is strictly prohibited on all major traffic arteries in Los Angeles., p.34,Parking,Park,Parked,Parks
61, Mr. Henderson has decided to postpone _______ the welcome party., p.34,holding,to hold,holded,hold
62, The company is in the process of _______ an intranet for customers to access and manage their accounts., p.34,creating,create,to create,created
63, _______ young children in factories is strictly prohibited by law., p.36,Employing,Employment,Employed,To employing
64," Due to the network trouble, customers had difficulty _______ UCN's website.", p.36,accessing,accessibility,access,accessed
65," Before _______ the envelope, make certain that all documents are completed.", p.36,sealing,seal,sealed,to seal
66, The company made an _______ recovery., p.38,amazing,amaze,amazed,amazement
67," A party _______ Ted Brenner's retirement will be held on Friday, March 20.", p.38,celebrating,celebrated,celebrates,is celebrating
68, The industry reorganization and easing credit seems _______ to investors., p.38,exciting,excited,excite,excitement
69, _______ applicants will be contacted by e-mail within two weeks., p.40,Qualified,Qualifying,Quality,Qualification
70, Listed below are the documents _______ for winter seminar registration., p.40,required,are requiring,requiring,require
71, Broken glass lay _______ all over the road after the traffic accident., p.40,scattered,scattering,scatters,is scattering
72, Please complete this form by writing clearly within the boxes _______ black ink., p.42,using,used,use,usage
73," _______ in the early 1900s, the Beijing Hotel has over 100 years of experience providing genuine Chinese hospitality.", p.42,Built,Building,Having built,Builder
74," _______ from the company, Mr. Chen had the time to establish his own public fund.", p.42,Having retired,Retired,Retiring,Retirement
75, All returns must _______ within 14 days of receipt of goods., p.44,be made,make,be making,made
76, All applicants will _______ to submit their resumes in both Japanese and English within 30 days., p.44,be expected,expected,be expecting,expect
77, You can _______ your service agreement within 10 days of the expiration date., p.44,renew,renewing,renewed,be renewed
78, The Finance Manager stated that he would rather _______ the deadline than expand the budget., p.46,extend,be extended,extended,extending
79, Mr. Lee must _______ when to begin his speech at the retirement party., p.46,have known,known,be known,knowing
80, We should _______ more careful with the customer records., p.46,have been,have,have got,have had
81," LA Commercial Trust, one of the most popular community banks, _______ free ATM service to all account holders.", p.48,offers,offer,offering,is offered
82, The economic boom over the past few years _______ up prices in most major cities across America., p.48,has driven,drive,is driven,drove
83, All employees who work after 11:00 P.M. in the Annex _______ to use the back door when leaving., p.48,are requested,requests,requested,has requested
84, Site managers oversee the conveyor lines where merchandise _______ after it arrives at the factory., p.50,is sorted,was sorted,sorting,sorted
85, The company invested heavily in many of the products that _______ today as staple goods., p.50,are known,was known,knew,knows
86," If you _______ a car on this private property without proper authorization, a fine will be imposed.", p.50,park,will park,parked,parking
87, We will have to tell Mr. Brown that _______ plan cannot be approved at this time., p.52,his,himself,he,him
88, Executive Directors are asked to provide _______ perspectives on company leadership., p.52,their,they,them,theirs
89, Wilson Electronics announced _______ retreat from overseas markets at the annual meeting last month., p.52,its,our,his,your
90, Mr. Martin has told us that he will manage the new design project by _______., p.54,himself,he,his,him
91, Peter Kramer has put _______ in a good position to become the next CEO., p.54,himself,oneself,themselves,itself
92," The problem is not with the file _______, but with the download process.", p.54,itself,it,its,themselves
93," Before shipment, _______ of these computers must be checked by inspectors.", p.56,each,either,any,every
94, _______ of the members present in the meeting voted against the proposal., p.56,All,Almost,One,Both
95," Some projects require increases in capital, while _______ require new leadership.", p.56,others,the others,another,the other
96, Ms. Dyer is responsible for the _______ of employee records., p.58,management,manager,manage,manageable
97, Mayer's excellent _______ to detail ensures that orders are filled exactly as requested., p.58,attention,attendant,attended,attend
98, State officials reported a critical _______ of staff in America's national parks., p.58,shortage,short,shortly,shorting
99, Our products are widely known for their _______., p.60,reliability,reliable,rely,reliably
100," The road is under _______, so drivers have to take an alternative route.", p.60,construction,constructing,construct,constructive
101, The National Laboratory achieved astonishing _______ with its experiments on the new drug., p.60,results,resultful,resulting,resulted
102, _______ work on Highway 131 was finally completed on March 21., p.62,Road,Trail,Route,Passage
103, We are currently seeking an experienced customer service _______., p.62,representative,represent,represented,representing
104, The _______ of mobile phone is prohibited in the theater., p.62,use,using,used,usage
105, Kansas City Bank will hire 20 _______ employees over the next three years., p.64,additional,addition,additions,additionally
106," If you have to write down your passwords, keep them in a _______ location.", p.64,secure,cautious,noticeable,strict
107," Downtown Dance & Fitness has facilities _______ for stretching, dancing, and exercising with weights.", p.64,suitable,suitability,suitably,suit
108, Today's large manufacturers must learn to manage effectively across cultures in order to remain _______ in diverse markets., p.66,competitive,competition,competitively,compete
109, The company's financial situation seemed quite _______ after the announcement of its delisting., ここでは、形容詞しか来ない。hopefully でなくて、hopeful なら文法的には正しいが、意味が合わない。 delisting は、上場廃止。p.66,hopeless,hopelessly,hopelessness,hopefully
110, We have to keep all information _______ in preparation for the merger with U.S. Software., p.66,confidential,confident,confidence,confidently
111, Workshop participation is _______ to all U.S.Citizens., p.68,open,openly,opens,opened
112, The company is _______ for any property damage caused by its work., p.68,liable,lie,liability,liberal
113, It is _______ that LG Telecom will file for bankruptcy by the end of the year., p.68,probable,prove,probably,probability
114, Members of the board meet _______ to discuss issues related to management., p.70,regularly,regular,regularity,regulate
115, The payment due will be _______ withdrawn from your account on May 25., p.70,automatically,automatic,automation,automate
116, The agenda for the presentation should be distributed _______., p.70,beforehand,backward,frequently,shortly
117, _______ all modern grocery stores offer a wide range of frozen processed foods., p.72,Almost,Most,For,Of
118, Mr. Evans worked _______ quickly on the proposal in order to have it ready for today's presentation., p.72,extremely,extremeness,extreme,extremes
119, The Asian stock markets fell _______ after opening on Friday., p.72,shortly,shortfall,short,shortage
120," _______, you may request an appointment on-line by clicking on the link below.", p.74,Alternatively,Alternate,Alternately,Alternative
121," _______, appropriate steps will be taken to deal with the economic downturn.", p.74,Presumably,Presumptuous,Presumptive,Presuming
122," _______, 30 community members participated in the training program.", p.74,Altogether,Completely,Wholly,Largely
123," _______ a recent fare increase, mass transit in the LA area is facing financial troubles.", p.76,Despite,Although,Nevertheless,Because
124, New information was revealed _______ a Monday afternoon press conference at the hotel., p.76,during,while,on,with
125, More than 50 flights have been canceled _______ the stormy weather., p.76,owing to,while,except for,by
126, The traffic safety campaign will be continued at least _______ the end of July., p.78,until,by,during,at
127, Please contact us at the following address if you have any questions _______ your purchase., p.78,concerning,to,with,among
128," All staff members, _______ part-timers, are required to submit holiday work schedules by November 30.", p.78,except,without,for,despite
129, The retail sales amount last month was equal _______ 15 percent of our annual return., p.80,to,in,from,on
130, Members are eligible _______ a 20 percent discount on all items in stock., p.80,for,to,with,at
131, Enter to win a free subscription _______ Asian Weekly., p.80,to,on,by,with
132," Over the past few years, we have had problems _______ quality control.", p.82,with regard to,according to,by means of,in favor of
133, Employees must conduct business affairs _______ all applicable regulations., p.82,in compliance with,in comparison to,in opposition to,in addition to
134," We will have a celebration _______ Mr. Baker, former president of our company, on December 12.", p.82,in honor of,instead of,in respect of,in case of
135, The winter sale began last month _______ is expected to continue until January 2010., p.84,and,therefore,for,nor
136," The order was supposed to have been delivered on March 26, _______ we have not received it yet.", p.84,but,so,so that,and
137," Please make your payment in full by the end of this week, _______ we will have to suspend all future shipments.", p.84,or,and,but,nor
138, EAccess offers a wide variety of services for _______ business and personal needs., p.86,both,every,either,whether
139, That product is _______ manufactured nor distributed by Detroit Motor Corporation., p.86,neither,also,either,both
140, Payment for electricity bills can be made by either check _______ credit card., p.86,or,but,and,if
141," _______ the U.S. economy has begun to pick up again, the unemployment rate still remains at approximately 10 percent.", p.88,Although,Unless,Due to,Despite
142, Please indicate on the questionnaire _______ you would prefer an urban or rural residence for retirement living., p.88,whether,that,where,when
143," The merchandise may take 10-14 business days, _______ it is on back-order.", p.88,as,or,as soon as,so that
144," _______ your order has been shipped, you will receive an automated e-mail notifying you of the expected date of delivery.", p.90,Once,Soon,In case,Later
145," We cannot accept returns for merchandise, _______ you paid by credit card and you have the original receipt.", p.90,unless,for,but,so that
146," We'll send you an order confirmation by e-mail, _______ your credit card payment is approved.",  because だと、payment was approved (クレジットでの支払いが承認されたので) と過去形にしないと、ちょっとつじつまが合わない。なので、ここは、 provided thatになる。もちろん、ifがあれば、それでよい。p.90,provided that,although,because,while
147," We require a person _______ is fluent in English, and has at least 1 year of sales experience.", p.92,who,when,what,whose
148," The Long Island Inn is a comfortable hotel with an experienced staff, _______ attention to detail is certain to make a positive impression.", p.92,whose,who,which,that
149, Special gift certificates will be offered to shoppers _______ the store manager plans to select by lottery., p.92,whom,that,who,which
150," Mr. Park will hold a three-day workshop, during _______ he'll make suggestions on improving quality control.", p.94,which,whose,that,whatever
151," At CyberNet Corporation, _______ Mr. Staiger founded, revenue growth has been steady for over three years.", p.94,which,where,who,whom
152, Nobody was able to actually understand _______ Ms. Lee was saying., p.94,what,which,whom,that
153," JN Entertainment has established a new website, _______ a wide variety of music is now available for downloading.", p.96,where,which,that,when
154, Our Online Shopping Mall offers you the opportunities to buy _______ you want., p.96,whatever,wherever,whom,who
155," _______ difficult it may be, it's far from impossible to complete the project on time and on budget.", p.96,However,Whatever,Whichever,Whenever
156, The downtown building project has been highly controversial as much for its poor design _______ for the noise., p.98,as,that,from,though
157," Our new laptop PC, the Feather-Lap 1000, is far _______ than those of our competitors.", p.98,lighter,more light,light,lightest
158, This year's fashion show will be by far the _______ glamorous that New York has ever seen., 前に the があるので、ここは、glamorousの最上級になる。 by far は間違いなくという意味。p.98,most,more,much,many
159," Of the two applicants, Mr. Kim appears to be the _______ promising.", p.100,more,well,best,much
160," The _______ the computer, the more convenient it will be to carry around.", p.100,smaller,more small,small,smallest
161," If the merchandise is in stock, your order will be shipped _______ June 30.", p.100,no later than,prior,in advance,among
162," If we had more money, we _______ in newer plant equipment and transport vehicles.", p.102,could invest,can invest,could have invested,has invested
163," If she had not been involved in the accident, Mrs. Potter _______ in the international convention.", p.102,would have participated,would participate,has participated,participates
164, Please let us know if you _______ any questions about our products or services., p.102,should have,should have had,had,have had
165," _______ you have any inquiries, please do not hesitate to contact us directly.", p.104,Should,If only,Were,Had
166, The sales manager suggested that the sales campaign _______ extended until September 20., p.104,be,is,was,has
167, It is essential that transaction data from all branch offices _______ up on a daily basis., p.104,be backed,were backed,backed,has backed
168," Interest rate are often _______ either monthly or yearly, but never daily.", TJ1.101,compounded,mixed,lifted,enlarged
169," If the planning meeting happens to run _______, if possible, how about calling me?", TJ1.102,over,out,into,across
170, The 4th quarter report is due _______ Monday., TJ1.103,on,to,until,at
171," The last five years sales revenues, if _______ into the near future, show us that we should expect an annual profit of 24%.", TJ1.104,projected,project,projecting,projection
172, In previous years we've found that _______ wages squeezed our profit margins.,,rising,raise,risen,rose
173, Mr. Jennings is well known for _______ for weekly telemarketing meetings.,,always being late,late being always,being late always,always late being
174, A mobile phone is the most efficient _______ to quickly contact employees.,,way,order,form,approach
175," Even though Mr. Waller had _______ the report many times, his boss found numerous glaring errors.",,reviewed,overseen,looked up,worked around
176," If we _______ the lottery, we could buy a bigger house in the suburbs.",,win,was to win,had won,have won
177, Ms. Thompson and Mr. Johnson are the only persons _______ can order those supplies.,,that,both,each,they
178, That client should have bought pharmaceutical stock before the _______ boom began., ここには、形容詞が入る。speculative は「投機的な」という意味。 spectacle = [n]光景。specialty=[n]専門　specific=[adj]特定の,speculative,spectacle,specialty,specific
179," After the newspaper _______, Mr. Moscowitz realized that the rain had soaked it.",,was delivered,delivered,has been delivered,had been delivering
180," The president recommended, over our objections, _______ a public policy team for future crisis.",,organizing,organized,organize,to organize
181, Ms. Murnay looked around for some people in her office who could _______ her on her career.,,advise,advice,advance,advent
182, What effect will this new factory have _______ the environment?,,on,to,out of,with
183," Our machines combine five features into one, but _______ go a step further and include a cleaning feature.",,theirs,their one,there's,them
184, Cars usually _______ fastest in the first three years of ownership., depreciate = 価値が低下する。意味的にこれしかはいらない。,depreciate,decline,deceive,decipher
185, Please write me if you have _______ questions.,,any further,whichever,one more,further more
186, _______ people with your combined incomes are not able to use the type of tax shelter that we have planned for you.,,Many,Most of,Almost,Much
187," Our latest recruiting package includes videos and CD-ROMs, _______ no brochures that I'm aware of.",,but,nor,or,nevertheless
188," The voice mail _______ your messages, if you are not able to answer the phone.",,will automatically take,will have automatically taken,has automatically taken,automatically took
189, Mr. Stanley was _______ when he couldn't hand in his resume in time.,,upset,remorseful,overrun,troublesome
190," The test scores for managers, _______ will be announced tomorrow, is a big event in the company.",,which,if that,whichever,when
191, The _______ surrounding Derek Inc.'s new sewage disposal plant may infuriate its stockholders.,,publicity,public,publicized,publishing
192, Eberone knew about the merger before it was even _______ publicly.,,mentioned,released,issued,gone
193, The Christmas shopping season was _______ the floor manager had anticipated.,,far busier than,as busy,the busiest of,more busier
194, I would have to say that Mr. Butcher was the hardest working assistant that _______ in a long time.,,we've had,there had been,ever,is having
195," By stressing _______ credentials on the cover letter, companies should recognize that he will be an asset to them.",,his,their,everyone's,our
196, The foreign executives are hoping that the regional development program will _______ new business.,,stimulate,stimulation,stimulating,stimulus
197, Mr. Sharpe wanted to know _______ be available.,,when the pamphlets would,that would the pamphlets,the pamphlets would,when would the pamphlet
198, I'm sure that Mr. Rogers _______ us if he had cancelled.,,would have notified,will be notifying,was notifying,notified
199, Move the desk _______ the filing cabinet.,,next to,among,between,too near
200, The hotel owner _______ the resumes before arranging interviews.,,looked over,shuffled with,applied for,read for
201, The Rent-Anything store always checks its customers before _______ them anything.,,lending,lent,lend,lends
202," Memos from the payroll section are as confusing as ever, but _______ was the last straw.",  the last straw = とどめの一撃,the latest one,an earliest memo,later memo,earlier one
203, At this rate within the next few years the average person living in the EU _______ in reality very little money.,,will have saved,have saved,will be saved,were saving
204, I'm afraid we can not send a check _______ the problem is fully resolved.,,until,although,once,because
205, In hard times it pays to _______.,,economize,economic,economy,economical
206," Since he has a long _______, Mr. Phillips always needs to leave the office at 5:00 p.m.",,commute,communication,communion,commission
207," _______ a faulty connection, the conference call couldn't go through as planned and was therefore switched to Tuesday.",,Because of,Nonetheless,In spite of,But for
208," Before we take action on this problem, it would be safe to look _______ the situation carefully.",,into,out,after,up
209, You are allowed to designate only one _______ who will be paid the proceeds of your life insurance policy., beneficiary 保険金などの受取人,beneficiary,benefit,beneficial,benefactor
210," The peace and tranquility of our new neighborhood is wonderful, but I have to admit we're not yet used to _______ so far from town."," ""used to"" must be followed by noun.  do not mix up with ""used to +動詞の原型　""",being,be,been,have been
211, The bank has offered a $250 rebate to borrowers who open a savings _______ at the lending branch.,  savings account 普通預金,account,policy,course,program
212, We have _______ antique furniture that we would like to have insured.," furniture is uncountable noun so you cannot use ""an"" in this case.",some,a,any,an
213, We wouldn't advise _______ the contingency until all inspections have been completed.,  advise + ...ing.  advise + 人 + to 不定詞,removing,remove,removed,to remove
214," The air conditioner broke down just one week after we bought it, and we demanded that they _______ it back.",,take,refund,replace,repair
215," _______ all required forms are filled out in full, your application will be considered incomplete.",,Unless,If,Without,Until
216, The newer trainees should take the time to learn from their veteran _______ in the company.,  employer は雇い主のこと。従業員は、employee。 co-ed は男女共学のこと。,colleagues,employers,co-eds,acquaintances
217," Because of a mix-up in the room schedule, the editorial department must _______ the meeting at 3:00 p.m.", 間違えた人は、単語の意味を辞書で調べて、覚えること。,adjourn,review,take down,renounce
218, We're really going to have to consider _______ out all unnecessary work.,  consider + (動詞)ing    contract out = 仕事を外に出す。,contracting,contracted,contracts,contract
219, The only difference between our company and _______ is our commitment to service., 二つの会社を比較している文。theirs = their company ,theirs,themselves,they,their
220, The sales figures for the last six months were much lower than _______.,  than they were estimated の they were が省略されている。,estimated,were estimating,have estimated,estimate
221, The instructor of the language seminar said that reading _______ English book a day will increase your vocabulary.,,an,more,the,many
222, Everyone in the marketing division _______ objects to the idea of closing our European branch., Must be adverb. strongfully という単語は存在しない。,strongly,strengthen,strong,strongfully
223, We'll be _______ the store when the lease is up next month.,,relocating,seeking,conveying,trafficking
224," Personnel department members almost _______ get to travel on business, especially overseas.",,never,rarely,seldom,occasionally
225," Ms. Stupak _______ quietly, when all of a sudden there was a loud crash.",,had been sleeping,was to sleep,is sleeping,has been sleeping
226, The Starlight Express train to Chicago will be delayed _______ hour.,,another,other,any,each
227, The supervisor made us stay late _______ we could file the report by next morning.,,so that,accordingly,however,therefore
228, The project manager works _______ overtime as his staff does.,  as ? as 　overtime は名詞ではない。 as many ... as のときは ... は名詞,as much,much,more,as many
229, The human resource manager refuses to make any _______ commitments at this time.,,sensitive,saturated,sensory,successor
230," At 5:00 p.m., the swing shift of factory employees should come _______.",,on duty,around to task,in work,at job
231, The quickest way to send the report to the corporate headquarters is to send it _______ messenger service.,,via,with,of,for
232, _______ this information has never been printed yet.,,Much of,Both,One of,Neither
233, Company employees should _______ their voice-mail messages often.,,retrieve,deduce,upgrade,receive
234, The vice-president will attend the banquet _______ the chairman., as (として) の場合は冠詞はともなわない。 as chairman ならOK,with,as,to,instead
235," Because _______ of us had been to the facility before, Ms. Kobayashi volunteered to drive us there.",,none,almost,any,no one
236, Ms. Lancing has been _______ the personnel department for eight years.,,in charge of,through,throughout,deprived of
237, Global manager meetings _______ every month in the new teleconferencing room.,,are held,are holding,was holding,was held
238," Invest on or before the last day of this year, _______ new, higher tax rates come into effect, or else you may lose money.",,when,that,if,which
239, His lukewarm investment recommendation hardly _______ the nature of such a vibrant industry as health services.,,reflected,reflecting,is reflective,reflect
240," In every person's life, there _______ when they have to declare their independence.",  there comes a time when ? = ?するときがやってくる。,comes a time,must be,a time is,is times
241, The young manager makes up _______ he lacks in experience with eagerness.,  make up ? with ... = ?を...で補う。,what,when,that,which
242, The steel industry expects costs to _______ 4 percent this year., ascend も「上がる」という意味があるが、「登る」というニュアンスで、「増加する」という意味ではない。　escalate は加速する。raise は上げる。,increase,raise,escalate,ascend
243, Imports should go through our West Coast distributor first _______ of directly to retail stores.,  on account of ? = ?という理由で。 in terms of ? = ?という点で。,instead,because,on account,in terms
244, All names in this database should be listed in _______ order.,  アルファベット順には、 in alphabetical order. 丸暗記すること。,alphabetical,alphabet,alphabetize,alphabetically
245, The legislature postponed _______ until tomorrow.,  postpone must be followed by gerund (動名詞),voting,vote,to vote,voted
246, We need a new management structure that can monitor employee _______,,productivity,producer,produce,productive
247, Will you be able to get these documents _______ by an accountant before Wednesday?,,certified,certifying,certificate,certify
248," The CEO of Grump, Inc. discussed _______ for the first quarter of the fiscal year at the meeting today.",,earnings,interests,commerce,managing
249," If I _______ you, I would quit and go to another company.",,were,am,had been,could be
250, Presidents of companies always have the _______ office in their headquarters.,,most spacious,space,spacious,more spacious
251, The package could not be sent by express mail _______ the address was incorrect.,,because,although,once,until
252, Secretaries usually type more _______ than their bosses.," must be adverb. should not be adjuctive since it modifies the verb ""type"".",accurately,accuracy,accurate,accurateness
253, You should go to the reception and _______ with your fellow authors., mingle =(パーティなどで) 交際する。　join は単に参加する　sift=ふるいにかける　intervene = 介入する、調停する。,mingle,join,sift,intervene
254, From now on our leadership meetings will _______.,,be held twice a month,twice a month be held,be twice held a month,a month be held twice
255," Through careful tracking of customer data, they succeeded in identifyng the limitations of the company's system and it could then be _______.",,streamlined,to streamline,streamline,streamlining
256, Mr. Tirano is going to resign from his position as director of the research division in order to concentrate _______ writing a book.,,on,in,to,over
257, Julia and John have _______ for their wedding dinner to be held on a boat cruising the river.,,arranged,arrange,arranging,arrangement
258, The chairman of ICM announced its _______ of an additional three million shares of Boxton this morning.,,acquisition,acquire,acquisitive,acquired
259," For further assistance, please _______ our information desk on the first floor.",,contact,choose,close,complete
260, We are confident that our new _______ of microwave will be a success.,,brand,application,automation,employee
261, Plastic bottles are less expensive to ship because they are _______ than glass.,,lighter,lightest,light,lightly
262, The organization reserves the _______ to revise the contents of the booklet after its publication.,,right,rightfully,rightful,rightly
263, Most of the employees in the factory suffer from problems with _______ backs.,,their,they,them,theirs
264, It was with great _______ that Mr. Stein abandoned his plans to travel overseas.,,disappointment,disappointed,disappointing,disappoint
265, Many foreign companies hope to _______ their business in Japan once deregulation is carried out.,,expand,expansion,expanding,expansive
266, The quality of the company's products produced overseas is _______ to those made in their home country.,,comparable,comparing,comparison,comparatively
267, Market _______ depends to a great extent on the ability of a company to establish a good sales network.,,penetration,penetrating,penetrations,penetrates
268, Many companies are going through the process of _______ their employees as they restructure for global competition.,,retraining,retrying,retrieving,retaining
269, We can _______ renew your magazine subscription if you desire it.,,automatically,auto-genetically,autocratically,autonomously
270," I applied to over twenty companies for a job, but every one of them _______ me down.",,turned,broke,took,ran
271," If you return an item you bought at our store with the receipt, it is our policy to give you _______ your money back without any questions."," 意味的には、 entire も full もよさそうに見えるが、entire your money とか、 full your money とは言わない。 entire purchase price, full refund のように使う。 your がなければ、 entireとか、 full でも正しいように思う。",all,entire,full,completely
272, The scientists are _______ making progress on the development of a new rocket., extremely usually modifies adjutive... ,gradually,extremely,extensively,accurately
273, The high standards established by that company and the uniqueness of its products have put it into a _______ all to itself., all to itself = ただそれだけで、,category,eligibility,quality,rate
274," Next week, the Videorama _______ in downtown Chicago for business.","  is opening, or, will be opening is also OK.",is going to open,open,to open,to be opening
275, Bob and Hiro checked _______ coats in the lobby of the hotel before going to the reception.,,their,they,them,his
276," _______ the boss's vacation, the assistant department head was responsible for making all employee work assignments.",,During,While,In,When
277, The company cannot market the new drug _______ it receives government approval.,,until,however,meanwhile,nevertheless
278, There was so _______ construction equipment along the road that there was no place to stop the car.," The word ""equipment"" is uncountable so you should use ""much"" instead of ""many"". もし、 many だったら、 equipment に sがつくはず。(equipment は不可算名詞と想像できる。)",much,many,very,more
279, The money _______ to the bank and dropped in the night deposit box.,,is taken,to be taken,took,will take
280," _______ the economy was in recession, the company was opening new stores."," However は　but と同じ。 The economy ... , however the company ...",Though,However,Because of,As a result
281," We can take a bus, train _______ go by car.",,or,and,either,but
282, The idea of _______ money in developing countries is becoming more popular with fund managers.,,investing,to invest,invest,be investing
